STATEFP10,PLACEFP10,PLACENS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,PCICBSA10,PCINECTA10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
17,02154,02397986,1702154,Arlington Heights,Arlington Heights village,47,C1,Y,N,G4110,A,43015105,75403,+42.0973621,-087.9816706
17,84220,02397402,1784220,Zion,Zion city,25,C1,N,N,G4110,A,25401820,6555,+42.4599088,-087.8511212
17,82686,02399725,1782686,Winthrop Harbor,Winthrop Harbor village,47,C1,N,N,G4110,A,12089372,234468,+42.4806144,-087.8295572
17,10906,02357470,1710906,Campton Hills,Campton Hills village,47,C1,N,N,G4110,A,43791807,212337,+41.9502414,-088.4170487
17,38895,02398325,1738895,Kaneville,Kaneville village,47,C1,N,N,G4110,A,812083,0,+41.8336284,-088.5216731
17,80125,02400129,1780125,West Dundee,West Dundee village,47,C1,N,N,G4110,A,9620325,262509,+42.1109207,-088.3445892
17,78175,02400074,1778175,Virgil,Virgil village,47,C1,N,N,G4110,A,5462602,0,+41.9555312,-088.5292026
17,73391,02399926,1773391,Sugar Grove,Sugar Grove village,47,C1,N,N,G4110,A,27109992,39676,+41.7683904,-088.4506676
17,70720,02399846,1770720,South Elgin,South Elgin village,47,C1,N,N,G4110,A,18099048,431354,+41.9894598,-088.3126179
17,70161,02399828,1770161,Sleepy Hollow,Sleepy Hollow village,47,C1,N,N,G4110,A,5180272,68160,+42.0902869,-088.3137119
17,59988,02399676,1759988,Pingree Grove,Pingree Grove village,47,C1,N,N,G4110,A,9507448,0,+42.0857490,-088.4362441
17,53442,02399508,1753442,North Aurora,North Aurora village,47,C1,N,N,G4110,A,18587947,559963,+41.8087365,-088.3419807
17,43406,02398437,1743406,Lily Lake,Lily Lake village,47,C1,N,N,G4110,A,7106630,2476,+41.9511859,-088.4739949
17,32525,02398234,1732525,Hampshire,Hampshire village,47,C1,N,N,G4110,A,23180294,0,+42.1157020,-088.5051685
17,29171,02398961,1729171,Gilberts,Gilberts village,47,C1,N,N,G4110,A,14367470,21605,+42.1092484,-088.3721973
17,28872,02394875,1728872,Geneva,Geneva city,25,C1,N,N,G4110,A,25239945,633170,+41.8820718,-088.3293371
17,22931,02398795,1722931,Elburn,Elburn village,47,C1,N,N,G4110,A,8098658,0,+41.8715578,-088.4536118
17,11358,02397560,1711358,Carpentersville,Carpentersville village,47,C1,N,N,G4110,A,20470032,510043,+42.1235708,-088.2932928
17,09759,02397500,1709759,Burlington,Burlington village,47,C1,N,N,G4110,A,18513930,0,+42.0528825,-088.5697690
17,05976,02398118,1705976,Big Rock,Big Rock village,47,C1,N,N,G4110,A,11208397,0,+41.7667684,-088.5264700
17,36750,02398562,1736750,Huntley,Huntley village,47,C1,N,N,G4110,A,36439022,82430,+42.1601789,-088.4364510
17,00685,02397931,1700685,Algonquin,Algonquin village,47,C1,N,N,G4110,A,31665144,466979,+42.1623540,-088.3156081
17,50218,02399387,1750218,Montgomery,Montgomery village,47,C1,N,N,G4110,A,24192972,446454,+41.7210396,-088.3584982
17,79397,02400112,1779397,Wayne,Wayne village,47,C1,N,N,G4110,A,14977348,226996,+41.9472549,-088.2532307
17,66703,02396476,1766703,St. Charles,St. Charles city,25,C1,N,N,G4110,A,37827773,838284,+41.9189392,-088.3114337
17,46604,02399247,1746604,Maple Park,Maple Park village,47,C1,N,N,G4110,A,6095062,8246,+41.9205840,-088.6166167
17,35411,02398519,1735411,Hoffman Estates,Hoffman Estates village,47,C1,Y,N,G4110,A,53860779,468825,+42.0652135,-088.1529913
17,23074,02394641,1723074,Elgin,Elgin city,25,C1,Y,N,G4110,A,96252693,1407761,+42.0396386,-088.3217094
17,21696,02398774,1721696,East Dundee,East Dundee village,47,C1,N,N,G4110,A,7075776,619431,+42.0974301,-088.2476772
17,04078,02394077,1704078,Batavia,Batavia city,25,C1,N,N,G4110,A,24959997,172844,+41.8481907,-088.3086453
17,04013,02398041,1704013,Bartlett,Bartlett village,47,C1,N,N,G4110,A,40471783,610132,+41.9608222,-088.1770112
17,03883,02398038,1703883,Barrington Hills,Barrington Hills village,47,C1,N,N,G4110,A,71031476,1577443,+42.1386415,-088.2029588
17,03012,02394031,1703012,Aurora,Aurora city,25,C1,N,N,G4110,A,116383850,2223625,+41.7634550,-088.2900990
17,42587,02398410,1742587,Lee,Lee village,47,C1,N,N,G4110,A,420665,0,+41.7944802,-088.9414529
17,17939,02393390,1717939,Crystal Lawns,Crystal Lawns CDP,57,U1,N,N,G4210,S,1628095,0,+41.5685311,-088.1639250
17,24920,02392995,1724920,Fairmont,Fairmont CDP,57,U1,N,N,G4210,S,3534024,0,+41.5612435,-088.0587815
17,27644,02393010,1727644,Frankfort Square,Frankfort Square CDP,57,U1,N,N,G4210,S,6552075,0,+41.5220880,-087.8036235
17,37465,02393064,1737465,Ingalls Park,Ingalls Park CDP,57,U1,N,N,G4210,S,2917740,0,+41.5202919,-088.0347075
17,41716,02393091,1741716,Lakewood Shores,Lakewood Shores CDP,57,U1,N,N,G4210,S,5923419,569227,+41.2682405,-088.1350396
17,61860,02393198,1761860,Preston Heights,Preston Heights CDP,57,U1,N,N,G4210,S,2469616,0,+41.4940633,-088.0753360
17,81938,02393860,1781938,Willowbrook,Willowbrook CDP,57,U1,N,N,G4210,S,8637582,41009,+41.4535310,-087.5382388
17,41157,02629851,1741157,Lake Holiday,Lake Holiday CDP,57,U1,N,N,G4210,S,8291701,1250253,+41.6157498,-088.6651315
17,60144,02393188,1760144,Pistakee Highlands,Pistakee Highlands CDP,57,U1,N,N,G4210,S,3415704,732759,+42.4030436,-088.2109014
17,12879,02628545,1712879,Chemung,Chemung CDP,57,U1,N,N,G4210,S,724584,0,+42.4162066,-088.6641761
17,07419,02393344,1707419,Boulder Hill,Boulder Hill CDP,57,U1,N,N,G4210,S,3718513,22893,+41.7118081,-088.3365429
17,12489,02393373,1712489,Channel Lake,Channel Lake CDP,57,U1,N,N,G4210,S,4672663,1547930,+42.4827450,-088.1471301
17,26896,02393000,1726896,Forest Lake,Forest Lake CDP,57,U1,N,N,G4210,S,1179474,158986,+42.2108963,-088.0535491
17,27455,02393009,1727455,Fox Lake Hills,Fox Lake Hills CDP,57,U1,N,N,G4210,S,3298225,1397862,+42.4134993,-088.1259874
17,28248,02393015,1728248,Gages Lake,Gages Lake CDP,57,U1,N,N,G4210,S,7748319,538797,+42.3516449,-087.9824365
17,30900,02393022,1730900,Grandwood Park,Grandwood Park CDP,57,U1,N,N,G4210,S,4012537,57787,+42.3914197,-087.9867540
17,40988,02393076,1740988,Lake Catherine,Lake Catherine CDP,57,U1,N,N,G4210,S,2414235,1408495,+42.4859696,-088.1239293
17,44550,02393107,1744550,Long Lake,Long Lake CDP,57,U1,N,N,G4210,S,2666565,1557803,+42.3742200,-088.1267922
17,77460,02393831,1777460,Venetian Village,Venetian Village CDP,57,U1,N,N,G4210,S,4751459,1579993,+42.4050441,-088.0501628
17,40364,02629857,1740364,Knollwood,Knollwood CDP,57,U1,N,N,G4210,S,1723150,0,+42.2849844,-087.8800388
17,61821,02629860,1761821,Prestbury,Prestbury CDP,57,U1,N,N,G4210,S,1645012,69912,+41.7861439,-088.4238419
